ID,SUBTYPE,ASSISTANCETYPE_ID,DESCRIPTION,SORT
03487ac3-e0db-43af-852b-2ebf198e3a0f,Breakfast,11605ca6-3326-4b3f-9722-89ea1bf770a7,Breakfast Food Program,1
9847b50a-31bd-4830-b961-9b6404007482,Lunch,11605ca6-3326-4b3f-9722-89ea1bf770a7,Lunch Food Program,3
06c9b85c-6ffc-4417-bbfe-7168410e0114,Dinner,11605ca6-3326-4b3f-9722-89ea1bf770a7,Dinner Food Program,5
33db847a-8ab3-4542-99ad-bc628a41c9f0,Morning Snack,11605ca6-3326-4b3f-9722-89ea1bf770a7,Morning Snack,2
81A5ACE3-A30F-2D00-F000-000275DC3B00,Afternoon Snack,11605ca6-3326-4b3f-9722-89ea1bf770a7,Afternoon Snack,4
