ID,LOCTYPE,DESCRIPTION
d741de0e-c541-4c93-b0b6-934cc30ba335,Church,Church
8205e4b1-367e-4156-9a44-24520c290ee1,Apartment Complex, Apartment Complex
50032eef-059b-4f02-ab38-8081c74822f9,Community Center, Community Center
42d9d70d-7d21-4450-a7b1-45f1c928c9ab,Arena, Arena
c8e92775-04d4-48fb-b55d-190798a4f42c,Fire Station, Fire Station
667748b1-5982-499c-bf6b-76430fec2880,Mobile Station, Mobile Station
96a9f8c8-54bb-444c-93ec-e99d03a82c70,Bus Route, Bus Route
a0d20c3a-c708-424a-8a86-66f2ce1f9a7c,Nonprofit Office, Nonprofit Office
87f1e024-777a-41c2-b813-ed5f02dd7f43,School,School
