ID,STREET,CITY,ZIP,LAT,LONG,STATE_STATECODE
36a00731-7f07-42a8-a141-f4303d41a10a,375 Woodside Ave. W1,San Francisco,94127,37.7459,-122.4525,CA
36a00731-7f07-42a8-a141-f4303d41a10c,1325 Florida St,San Francisco,94110,37.7658,-122.42,CA
36a00731-7f07-42a8-a141-f4303d41a10d,3045 Santiago St,San Francisco,94116,37.7436,-122.5001,CA
36a00731-7f07-42a8-a141-f4303d41a10e,727 Golden Gate Ave.,San Francisco,94102,37.7804,-122.4229,CA
36a00731-7f07-42a8-a141-f4303d41a10f,750 25th Ave.,San Francisco,94121,37.7761,-122.4065,CA
